Department,Department Name,Division,Gender,Base Salary,2019 Overtime Pay,2019 Longevity Pay,Grade
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527.00,0.00,2945.28,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,Health and Human Services,F,147215.00,0.00,906.24,32
CAT,County Attorney's Office,Health and Human Services,F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527.00,0.00,2945.28,32
CAT,County Attorney's Office,County Attorney,M,210143.00,0.00,0.00,0
CAT,County Attorney's Office,County Attorney's Office,F,144749.99,0.00,0.00,M3
CAT,County Attorney's Office,Human Resources and Appeals,F,167345.00,0.00,0.00,M2
CAT,County Attorney's Office,Government Operations,M,167345.00,0.00,0.00,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,163663.00,0.00,0.00,M2
CAT,County Attorney's Office,Human Resources and Appeals,M,132807.10,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,136658.32,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,Government Operations,F,144203.90,0.00,0.00,32
CAT,County Attorney's Office,Administration,M,187233.00,0.00,0.00,M1
CAT,County Attorney's Office,Support Services,F,66395.05,0.00,0.00,16
CAT,County Attorney's Office,Support Services,F,71852.00,0.00,0.00,16
CAT,County Attorney's Office,Human Resources and Appeals,F,120898.76,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,99852.00,0.00,0.00,23
CAT,County Attorney's Office,Insurance Defense Litigation,M,147215.00,0.00,0.00,32
CAT,County Attorney's Office,Government Operations,F,119003.36,0.00,0.00,32
CAT,County Attorney's Office,Health and Human Services,F,88427.50,0.00,0.00,23
CAT,County Attorney's Office,Finance and Procurement,F,90848.00,0.00,1778.40,21
CAT,County Attorney's Office,Finance and Procurement,F,71852.00,0.00,0.00,16
CAT,County Attorney's Office,Administration,F,44193.16,0.00,0.00,10
CAT,County Attorney's Office,Insurance Defense Litigation,M,150527.00,0.00,2945.28,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,115107.17,0.00,0.00,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,167345.00,0.00,0.00,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,135995.45,0.00,0.00,32
CAT,County Attorney's Office,Support Services,F,71852.00,3825.18,1406.08,16
CAT,County Attorney's Office,Human Resources and Appeals,F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,164111.25,0.00,0.00,M2
CAT,County Attorney's Office,Finance and Procurement,F,71852.00,0.00,592.28,16
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,Support Services,F,62488.00,0.00,0.00,13
CAT,County Attorney's Office,Health and Human Services,M,162107.15,0.00,0.00,M2
CAT,County Attorney's Office,Insurance Defense Litigation,F,150527.00,0.00,2945.28,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,150527.00,0.00,1132.80,32
CAT,County Attorney's Office,Finance and Procurement,F,55912.40,0.00,0.00,16
CAT,County Attorney's Office,Support Services,F,61113.00,0.00,0.00,13
CAT,County Attorney's Office,Human Resources and Appeals,F,137065.18,0.00,0.00,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,78902.00,0.00,1543.36,18
CAT,County Attorney's Office,Human Resources and Appeals,F,136658.32,0.00,0.00,32
CAT,County Attorney's Office,Government Operations,F,150527.00,0.00,1246.08,32
CAT,County Attorney's Office,Insurance Defense Litigation,M,129501.98,0.00,0.00,32
CAT,County Attorney's Office,Health and Human Services,F,139264.50,0.00,0.00,40
CAT,County Attorney's Office,Finance and Procurement,M,167345.00,0.00,0.00,M2
CAT,County Attorney's Office,Health and Human Services,F,127364.69,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,20470.01,0.00,0.00,5
CAT,County Attorney's Office,Insurance Defense Litigation,M,131601.00,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,59134.45,0.00,0.00,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,128741.70,0.00,0.00,23
CAT,County Attorney's Office,Support Services,F,64711.87,0.00,0.00,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,77973.87,371.95,0.00,23
CAT,County Attorney's Office,Administration,F,51158.14,0.00,0.00,16
CAT,County Attorney's Office,Insurance Defense Litigation,F,140560.09,0.00,0.00,32
CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",M,113172.39,0.00,0.00,32
CAT,County Attorney's Office,Human Resources and Appeals,M,131041.71,0.00,0.00,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,126596.59,0.00,0.00,32
CAT,County Attorney's Office,Health and Human Services,F,126596.59,0.00,0.00,32
CAT,County Attorney's Office,Human Resources and Appeals,M,71223.68,0.00,0.00,24
CAT,County Attorney's Office,Insurance Defense Litigation,F,74642.42,0.00,0.00,23
CAT,County Attorney's Office,Support Services,F,60218.92,0.00,0.00,16
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,F,134068.09,0.00,0.00,32
CAT,County Attorney's Office,Finance and Procurement,M,107254.47,0.00,0.00,27
CAT,County Attorney's Office,Human Resources and Appeals,M,86356.26,0.00,0.00,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,102548.06,0.00,0.00,27
CAT,County Attorney's Office,Health and Human Services,F,74482.27,0.00,0.00,23
CAT,County Attorney's Office,Support Services,F,52893.21,0.00,0.00,15
CAT,County Attorney's Office,Health and Human Services,F,48575.40,0.00,0.00,27
CAT,County Attorney's Office,Government Operations,F,150527.00,0.00,0.00,32
CAT,County Attorney's Office,Insurance Defense Litigation,F,96115.00,0.00,0.00,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070.00,0.00,0.00,27
CAT,County Attorney's Office,Insurance Defense Litigation,M,130368.75,0.00,0.00,32
CAT,County Attorney's Office,Insurance Defense Litigation,M,94070.00,0.00,0.00,27
CAT,County Attorney's Office,Insurance Defense Litigation,F,94070.00,0.00,0.00,27
CCL,County Council,Council Central Staff,F,141566.00,0.00,0.00,M3
CCL,County Council,Council Members and Staff,F,160000.00,0.00,0.00,0
CCL,County Council,Council Central Staff,F,99852.00,0.00,0.00,23
CCL,County Council,Council Central Staff,M,187233.00,0.00,0.00,M1
CCL,County Council,Council Central Staff,F,110671.90,0.00,0.00,21
CCL,County Council,Council Members and Staff,F,75438.05,0.00,0.00,26
CCL,County Council,Council Members and Staff,F,141616.25,0.00,0.00,M3
CCL,County Council,Council Central Staff,M,167345.00,0.00,0.00,M2
CCL,County Council,Council Members and Staff,F,182232.46,0.00,0.00,0
CCL,County Council,Council Central Staff,F,144751.00,0.00,0.00,M3
CCL,County Council,Council Members and Staff,F,140371.07,0.00,0.00,0
CCL,County Council,Council Central Staff,M,167345.00,0.00,0.00,M2
CCL,County Council,Council Central Staff,F,206000.00,0.00,0.00,0
CCL,County Council,Council Central Staff,M,92039.75,0.00,0.00,M2
CCL,County Council,Council Central Staff,F,90848.00,0.00,0.00,21
CCL,County Council,Council Central Staff,M,123799.00,0.00,152.45,28
CCL,County Council,Council Central Staff,F,35149.50,0.00,712.82,13
CCL,County Council,Council Central Staff,M,149786.40,0.00,0.00,M1
CCL,County Council,Council Members and Staff,F,166461.38,0.00,0.00,0
CCL,County Council,Council Central Staff,F,75290.00,176.04,1474.72,17
CCL,County Council,Council Central Staff,F,75290.00,176.04,1474.72,17
CCL,County Council,Council Central Staff,F,167345.00,0.00,0.00,M2
CCL,County Council,Council Members and Staff,F,75290.00,0.00,1474.72,17
CCL,County Council,Council Central Staff,F,56044.97,0.00,0.00,17
CCL,County Council,Council Central Staff,F,75290.00,487.48,1474.72,17
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Central Staff,F,99852.00,0.00,0.00,23
CCL,County Council,Council Members and Staff,F,95070.04,0.00,0.00,22
CCL,County Council,Council Central Staff,F,65878.75,1123.96,1306.58,17
CCL,County Council,Council Central Staff,F,73848.22,138.39,0.00,17
CCL,County Council,Council Central Staff,F,126584.00,0.00,0.00,28
CCL,County Council,Council Central Staff,F,167345.00,0.00,0.00,M2
CCL,County Council,Council Central Staff,M,99852.00,0.00,0.00,23
CCL,County Council,Council Members and Staff,F,140460.72,0.00,0.00,0
CCL,County Council,Council Central Staff,F,126584.00,0.00,0.00,28
CCL,County Council,Council Central Staff,F,35149.50,0.00,688.55,13
CCL,County Council,Council Central Staff,M,62488.00,0.00,0.00,13
CCL,County Council,Council Central Staff,M,167345.00,0.00,0.00,M2
CCL,County Council,Council Central Staff,M,99594.03,0.00,0.00,23
CCL,County Council,Council Central Staff,F,120703.89,0.00,0.00,32
CCL,County Council,Council Central Staff,F,93149.35,0.00,0.00,M3
CCL,County Council,Council Central Staff,F,112566.00,0.00,0.00,26
CCL,County Council,Council Members and Staff,M,161908.90,0.00,0.00,0
CCL,County Council,Council Members and Staff,F,71163.97,0.00,0.00,18
CCL,County Council,Council Members and Staff,F,125000.00,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Central Staff,M,83513.26,198.08,0.00,25
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Members and Staff,F,127812.50,0.00,0.00,0
CCL,County Council,Council Central Staff,M,160900.71,0.00,0.00,M2
CCL,County Council,Council Members and Staff,F,66352.94,0.00,0.00,18
CCL,County Council,Council Members and Staff,M,120536.93,0.00,0.00,0
CCL,County Council,Council Members and Staff,F,86498.16,0.00,0.00,26
CCL,County Council,Council Central Staff,M,96109.06,119.08,0.00,26
CCL,County Council,Council Central Staff,M,140075.29,0.00,0.00,32
CCL,County Council,Council Central Staff,M,126584.00,0.00,0.00,28
CCL,County Council,Council Members and Staff,M,79182.85,0.00,0.00,22
CCL,County Council,Council Members and Staff,M,57271.92,0.00,0.00,18
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,154408.18,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,120000.00,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,67479.14,0.00,0.00,16
CCL,County Council,Council Members and Staff,F,77795.52,0.00,0.00,16
CCL,County Council,Council Members and Staff,F,31441.07,0.00,0.00,18
CCL,County Council,Council Members and Staff,M,48933.12,0.00,0.00,16
CCL,County Council,Council Members and Staff,F,56288.38,0.00,0.00,18
CCL,County Council,Council Members and Staff,M,74428.79,0.00,0.00,22
CCL,County Council,Council Central Staff,F,97525.61,0.00,0.00,25
CCL,County Council,Council Members and Staff,F,57260.00,0.00,0.00,16
CCL,County Council,Council Members and Staff,M,82146.01,0.00,0.00,26
CCL,County Council,Council Members and Staff,M,59258.10,0.00,0.00,18
CCL,County Council,Council Central Staff,F,113603.72,0.00,0.00,28
CCL,County Council,Council Members and Staff,M,51570.74,0.00,0.00,18
CCL,County Council,Council Members and Staff,F,61350.00,0.00,0.00,16
CCL,County Council,Council Members and Staff,M,41882.36,0.00,0.00,16
CCL,County Council,Council Central Staff,M,67791.75,0.00,0.00,21
CCL,County Council,Council Central Staff,F,99852.00,0.00,0.00,23
CCL,County Council,Council Central Staff,F,98230.25,0.00,0.00,23
CCL,County Council,Council Members and Staff,F,59831.94,0.00,0.00,16
CCL,County Council,Council Members and Staff,M,48575.40,0.00,0.00,16
CCL,County Council,Council Members and Staff,M,150000.00,0.00,0.00,0
CCL,County Council,Council Members and Staff,F,110000.00,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Members and Staff,M,140371.07,0.00,0.00,0
CCL,County Council,Council Central Staff,F,146217.50,0.00,0.00,M2
CCL,County Council,Council Members and Staff,F,45000.00,0.00,0.00,16
CCL,County Council,Council Members and Staff,M,49591.25,699.92,0.00,16
CCL,County Council,Council Members and Staff,M,67293.28,0.00,0.00,18
CCL,County Council,Council Members and Staff,F,79037.31,0.00,0.00,22
CCL,County Council,Council Members and Staff,F,33742.50,0.00,0.00,16
CCL,County Council,Council Members and Staff,F,56237.50,0.00,0.00,16
CCL,County Council,Council Central Staff,F,66462.50,351.63,0.00,21
CCL,County Council,Council Members and Staff,F,84867.50,0.00,0.00,26
CCL,County Council,Council Members and Staff,M,45000.00,0.00,0.00,16
CCL,County Council,Council Members and Staff,F,46012.50,0.00,0.00,16
CCL,County Council,Council Central Staff,F,127812.50,0.00,0.00,32
CCL,County Council,Council Members and Staff,M,44000.00,0.00,0.00,16
CCL,County Council,Council Central Staff,F,43967.50,0.00,0.00,16
CCL,County Council,Council Central Staff,F,59333.63,125.55,0.00,17
CCL,County Council,Council Members and Staff,F,47847.89,0.00,0.00,16
CCL,County Council,Council Central Staff,F,146217.50,0.00,0.00,M2
CEC,Community Engagement Cluster,Regional Services Centers,M,166787.00,0.00,0.00,0
CEC,Community Engagement Cluster,Community Engagement Cluster,F,107346.00,0.00,0.00,23
CEC,Community Engagement Cluster,Gilchrist Center,F,92059.96,0.00,0.00,25
CEC,Community Engagement Cluster,Business Management,F,90848.00,0.00,0.00,21
CEC,Community Engagement Cluster,Regional Services Centers,F,186735.34,0.00,0.00,M1
CEC,Community Engagement Cluster,Wheaton Urban District,M,109761.00,0.00,2148.64,25
CEC,Community Engagement Cluster,Regional Services Centers,M,171648.00,0.00,0.00,0
CEC,Community Engagement Cluster,Regional Services Centers,M,168282.00,0.00,0.00,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,50537.37,3528.86,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,64459.66,5806.98,0.00,16
CEC,Community Engagement Cluster,Wheaton Urban District,M,62953.84,1878.18,0.00,16
CEC,Community Engagement Cluster,Community Partnerships,F,96609.19,0.00,0.00,23
CEC,Community Engagement Cluster,Regional Services Centers,M,185494.05,0.00,0.00,25
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407.00,115.12,0.00,10
CEC,Community Engagement Cluster,Wheaton Urban District,F,104680.00,0.00,0.00,24
CEC,Community Engagement Cluster,Silver Spring Urban District,M,52990.74,11280.23,0.00,13
CEC,Community Engagement Cluster,Silver Spring Urban District,F,58481.92,0.00,0.00,16
CEC,Community Engagement Cluster,Community Partnerships,F,109761.00,0.00,0.00,25
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407.00,0.00,0.00,10
CEC,Community Engagement Cluster,Community Partnerships,M,176837.00,0.00,0.00,0
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290.00,6797.56,1469.05,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48169.32,12731.91,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,76884.55,1205.96,0.00,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,109761.00,0.00,0.00,25
CEC,Community Engagement Cluster,Community Partnerships,F,95245.89,0.00,0.00,28
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48414.60,10810.66,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,54407.00,1628.41,3236.44,10
CEC,Community Engagement Cluster,Wheaton Urban District,M,54407.00,1725.75,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,60142.19,0.00,1768.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,F,54407.00,1777.44,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290.00,0.00,0.00,17
CEC,Community Engagement Cluster,Wheaton Urban District,M,65211.82,88.88,0.00,16
CEC,Community Engagement Cluster,Silver Spring Urban District,M,75290.00,7217.86,0.00,17
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,11774.66,0.00,9
CEC,Community Engagement Cluster,Gilchrist Center,F,52893.21,334.72,0.00,16
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3557.89,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,46540.16,13163.22,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,53797.05,549.92,0.00,16
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41955.34,2332.80,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,45187.48,4752.90,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,48432.43,20456.40,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41051.52,758.88,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,44965.96,2394.74,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43445.30,3209.99,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,40797.75,705.00,0.00,10
CEC,Community Engagement Cluster,Community Partnerships,F,150000.00,0.00,0.00,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,47862.31,326.16,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.33,13673.47,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,43659.35,1605.52,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.18,3260.49,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,F,41975.18,13175.05,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,M,41975.19,490.01,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,45048.61,3524.02,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,F,43659.99,397.20,0.00,10
CEC,Community Engagement Cluster,Gilchrist Center,F,44801.26,0.00,0.00,23
CEC,Community Engagement Cluster,Community Engagement Cluster,M,126584.00,0.00,0.00,28
CEC,Community Engagement Cluster,Community Engagement Cluster,M,61757.13,0.00,0.00,28
CEC,Community Engagement Cluster,Wheaton Urban District,M,51593.70,1283.31,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,42183.57,13808.57,0.00,10
CEC,Community Engagement Cluster,Gilchrist Center,M,45941.10,437.49,0.00,13
CEC,Community Engagement Cluster,Silver Spring Urban District,F,69908.06,15432.97,0.00,21
CEC,Community Engagement Cluster,Wheaton Urban District,M,42181.68,2026.73,0.00,9
CEC,Community Engagement Cluster,Commission for Women,F,161280.48,0.00,0.00,M1
CEC,Community Engagement Cluster,Gilchrist Center,F,22193.77,31.32,0.00,13
CEC,Community Engagement Cluster,Regional Services Centers,F,161200.00,0.00,0.00,0
CEC,Community Engagement Cluster,Wheaton Urban District,M,41695.09,1718.05,0.00,9
CEC,Community Engagement Cluster,Wheaton Urban District,M,44554.18,57.26,0.00,11
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,6916.70,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,36580.26,1775.90,0.00,9
CEC,Community Engagement Cluster,Silver Spring Urban District,F,38047.73,1508.88,0.00,10
CEC,Community Engagement Cluster,Silver Spring Urban District,M,38047.73,1842.35,0.00,10
CEC,Community Engagement Cluster,Wheaton Urban District,M,40296.37,3394.15,0.00,9
CEC,Community Engagement Cluster,Bethesda Urban District,M,80822.67,0.00,0.00,21
CEC,Community Engagement Cluster,Council Members and Staff,M,95092.50,0.00,0.00,28
CEC,Community Engagement Cluster,Silver Spring Urban District,M,35342.58,7483.79,0.00,9
CEC,Community Engagement Cluster,Gilchrist Center,F,36868.73,0.00,0.00,23
CEC,Community Engagement Cluster,Gilchrist Center,M,22970.55,64.81,0.00,13
CEC,Community Engagement Cluster,Wheaton Urban District,M,42183.56,1053.78,0.00,10
CEC,Community Engagement Cluster,Gilchrist Center,F,34542.50,0.00,0.00,23
CEC,Community Engagement Cluster,Gilchrist Center,F,20718.12,160.75,0.00,13
CEC,Community Engagement Cluster,Wheaton Urban District,M,39468.50,765.53,0.00,9
CEC,Community Engagement Cluster,Community Partnerships,F,95092.50,0.00,0.00,28
CEC,Community Engagement Cluster,Community Engagement Cluster,M,102250.00,0.00,0.00,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,187233.00,0.00,0.00,M1
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902.00,0.00,0.00,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902.00,0.00,0.00,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,144734.41,0.00,0.00,M3
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,172376.00,0.00,0.00,0
CEX,Offices of the County Executive,County Executive,M,201004.79,0.00,0.00,0
CEX,Offices of the County Executive,County Executive's Office,M,122300.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,83100.00,0.00,0.00,20
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,303091.00,0.00,0.00,0
CEX,Offices of the County Executive,County Executive's Office,F,90848.00,0.00,0.00,21
CEX,Offices of the County Executive,County Executive's Office,F,122300.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926.00,0.00,697.64,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,35926.00,0.00,0.00,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,78902.00,0.00,1543.36,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,134959.50,0.00,0.00,0
CEX,Offices of the County Executive,County Executive's Office,F,70000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,159432.00,0.00,0.00,0
CEX,Offices of the County Executive,County Executive's Office,F,155000.00,0.00,0.00,0
CEX,Offices of the County Executive,County Executive's Office,M,155000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687.00,0.00,0.00,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,86669.00,0.00,0.00,20
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,109761.00,0.00,0.00,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,170000.00,0.00,0.00,0
CEX,Offices of the County Executive,CountyStat,M,167214.07,0.00,0.00,M2
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,117578.84,0.00,0.00,28
CEX,Offices of the County Executive,CountyStat,M,94576.24,0.00,0.00,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,170687.00,0.00,0.00,0
CEX,Offices of the County Executive,Internal Audit,M,167345.00,0.00,0.00,M2
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,176800.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,142608.09,0.00,0.00,M2
CEX,Offices of the County Executive,CountyStat,M,85089.43,0.00,0.00,28
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,67204.50,0.00,0.00,21
CEX,Offices of the County Executive,CountyStat,M,58845.73,0.00,0.00,16
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,16731.53,0.00,0.00,5
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,84456.00,0.00,0.00,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,280000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,62372.50,0.00,0.00,18
CEX,Offices of the County Executive,CountyStat,F,82000.00,0.00,0.00,28
CEX,Offices of the County Executive,County Executive's Office,F,70000.00,0.00,0.00,0
CEX,Offices of the County Executive,CountyStat,F,76687.50,0.00,0.00,25
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,165000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,F,165000.00,0.00,0.00,0
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,71575.00,0.00,0.00,18
CEX,Offices of the County Executive,Chief Administrative Officer's Office,M,164622.50,0.00,0.00,M2
COR,Correction and Rehabilitation,MSD Fiscal Services,F,115647.75,0.00,0.00,M3
COR,Correction and Rehabilitation,MSD Fiscal Services,F,99852.00,0.00,0.00,23
COR,Correction and Rehabilitation,DS Health Services,F,71852.00,752.82,4280.64,16
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852.00,268.84,4280.64,16
COR,Correction and Rehabilitation,DO Director,F,78902.00,222.60,0.00,18
COR,Correction and Rehabilitation,MSD Fiscal Services,F,104610.55,0.00,0.00,23
COR,Correction and Rehabilitation,DS Food Services,F,71852.00,0.00,0.00,16
COR,Correction and Rehabilitation,MSD Human Resources,F,116159.00,0.00,0.00,M3
COR,Correction and Rehabilitation,PTS Assessment,F,115099.00,0.00,2252.64,26
COR,Correction and Rehabilitation,DS MCCF Custody and Security,M,144751.00,0.00,0.00,M3
COR,Correction and Rehabilitation,DS Health Services,M,167345.00,0.00,0.00,M2
COR,Correction and Rehabilitation,MSD Fiscal Services,F,71852.00,0.00,2109.12,16
COR,Correction and Rehabilitation,DS Detention Services,F,165578.56,0.00,0.00,M2
COR,Correction and Rehabilitation,MSD Management Services Division,F,167345.00,0.00,0.00,M2
COR,Correction and Rehabilitation,DO Director,M,206000.00,0.00,0.00,M2
COR,Correction and Rehabilitation,PTS Pre-Trial Services,F,206000.00,0.00,0.00,0
